# Directed graph (each unordered pair of nodes is saved once): graph_pagerank.txt
# Pagerank network from Feb 3 2024
# Nodes: 50 Edges: 100
# FromNodeId	ToNodeId
50
0   1
1   0
1   2
2   0
2   1
2   4
3   0
4   1
4   2
4   3
5   2
5   4
6   0
6   5
7   1
7   6
8   3
8   7
9   2
9   4
10  1
10  5
11  0
11  6
12  2
12  7
13  1
13  8
14  3
14  9
15  2
15  10
16  0
16  11
17  1
17  12
18  4
18  13
19  2
19  14
20  1
20  15
21  6
21  16
22  3
22  17
23  0
23  18
24  1
24  19
25  2
25  20
26  4
26  21
27  5
27  22
28  0
28  23
29  1
29  24
30  2
30  25
31  7
31  26
32  3
32  27
33  2
33  28
34  1
34  29
35  6
35  30
36  2
36  31
37  1
37  32
38  8
38  33
39  3
39  34
40  2
40  35
41  0
41  36
42  1
42  37
43  4
43  38
44  2
44  39
45  1
45  40
46  6
46  41
47  3
47  42
48  0
48  43
49  1
49  44
